participant_no,sentence_type_eng,sentence_type_eng_code,sentence_code,rating
1,unacceptable_mono_own,1,1a,3
1,acceptable_di_poss,4,1d,2
1,acceptable_mono_poss,2,2b,2
1,unacceptable_di_own,3,2c,2
1,unacceptable_mono_own,1,3a,3
1,acceptable_di_poss,4,3d,4
1,acceptable_mono_poss,2,4b,5
1,unacceptable_di_own,3,4c,2
1,unacceptable_mono_own,1,5a,2
1,acceptable_di_poss,4,5d,5
1,acceptable_mono_poss,2,6b,5
1,unacceptable_di_own,3,6c,2
2,unacceptable_mono_own,1,1a,5
2,acceptable_di_poss,4,1d,5
2,acceptable_mono_poss,2,2b,5
2,unacceptable_di_own,3,2c,1
2,unacceptable_mono_own,1,3a,1
2,acceptable_di_poss,4,3d,5
2,acceptable_mono_poss,2,4b,5
2,unacceptable_di_own,3,4c,5
2,unacceptable_mono_own,1,5a,1
2,acceptable_di_poss,4,5d,5
2,acceptable_mono_poss,2,6b,5
2,unacceptable_di_own,3,6c,5
3,unacceptable_mono_own,1,1a,1
3,acceptable_di_poss,4,1d,1
3,acceptable_mono_poss,2,2b,5
3,unacceptable_di_own,3,2c,1
3,unacceptable_mono_own,1,3a,1
3,acceptable_di_poss,4,3d,2
3,acceptable_mono_poss,2,4b,5
3,unacceptable_di_own,3,4c,3
3,unacceptable_mono_own,1,5a,1
3,acceptable_di_poss,4,5d,4
3,acceptable_mono_poss,2,6b,3
3,unacceptable_di_own,3,6c,1
4,unacceptable_mono_own,1,1a,4
4,acceptable_di_poss,4,1d,4
4,acceptable_mono_poss,2,2b,5
4,unacceptable_di_own,3,2c,1
4,unacceptable_mono_own,1,3a,4
4,acceptable_di_poss,4,3d,5
4,acceptable_mono_poss,2,4b,1
4,unacceptable_di_own,3,4c,2
4,unacceptable_mono_own,1,5a,4
4,acceptable_di_poss,4,5d,4
4,acceptable_mono_poss,2,6b,4
4,unacceptable_di_own,3,6c,1
5,unacceptable_mono_own,1,1a,2
5,acceptable_di_poss,4,1d,5
5,acceptable_mono_poss,2,2b,3
5,unacceptable_di_own,3,2c,3
5,unacceptable_mono_own,1,3a,2
5,acceptable_di_poss,4,3d,5
5,acceptable_mono_poss,2,4b,4
5,unacceptable_di_own,3,4c,3
5,unacceptable_mono_own,1,5a,4
5,acceptable_di_poss,4,5d,5
5,acceptable_mono_poss,2,6b,4
5,unacceptable_di_own,3,6c,1
6,acceptable_mono_poss,2,1b,5
6,unacceptable_di_own,3,1c,1
6,unacceptable_mono_own,1,2a,1
6,acceptable_di_poss,4,2d,3
6,acceptable_mono_poss,2,3b,5
6,unacceptable_di_own,3,3c,1
6,unacceptable_mono_own,1,4a,1
6,acceptable_di_poss,4,4d,5
6,acceptable_mono_poss,2,5b,5
6,unacceptable_di_own,3,5c,1
6,unacceptable_mono_own,1,6a,1
6,acceptable_di_poss,4,6d,5
7,acceptable_mono_poss,2,1b,4
7,unacceptable_di_own,3,1c,4
7,unacceptable_mono_own,1,2a,2
7,acceptable_di_poss,4,2d,4
7,acceptable_mono_poss,2,3b,5
7,unacceptable_di_own,3,3c,2
7,unacceptable_mono_own,1,4a,4
7,acceptable_di_poss,4,4d,4
7,acceptable_mono_poss,2,5b,3
7,unacceptable_di_own,3,5c,2
7,unacceptable_mono_own,1,6a,3
7,acceptable_di_poss,4,6d,3
8,acceptable_mono_poss,2,1b,3
8,unacceptable_di_own,3,1c,4
8,unacceptable_mono_own,1,2a,3
8,acceptable_di_poss,4,2d,4
8,acceptable_mono_poss,2,3b,4
8,unacceptable_di_own,3,3c,3
8,unacceptable_mono_own,1,4a,2
8,acceptable_di_poss,4,4d,5
8,acceptable_mono_poss,2,5b,1
8,unacceptable_di_own,3,5c,2
8,unacceptable_mono_own,1,6a,2
8,acceptable_di_poss,4,6d,3
9,acceptable_mono_poss,2,1b,5
9,unacceptable_di_own,3,1c,1
9,unacceptable_mono_own,1,2a,1
9,acceptable_di_poss,4,2d,4
9,acceptable_mono_poss,2,3b,3
9,unacceptable_di_own,3,3c,1
9,unacceptable_mono_own,1,4a,2
9,acceptable_di_poss,4,4d,5
9,acceptable_mono_poss,2,5b,3
9,unacceptable_di_own,3,5c,2
9,unacceptable_mono_own,1,6a,2
9,acceptable_di_poss,4,6d,3
