participant_no,sentence_type_pol,sentence_type_pol_code,sentence_code,rating
1,acceptable_mono_refl,1,1a,5
1,unacceptable_di_poss,4,1d,3
1,unacceptable_mono_poss,2,2b,4
1,acceptable_di_refl,3,2c,5
1,acceptable_mono_refl,1,3a,5
1,unacceptable_di_poss,4,3d,4
1,unacceptable_mono_poss,2,4b,4
1,acceptable_di_refl,3,4c,2
1,acceptable_mono_refl,1,5a,5
1,unacceptable_di_poss,4,5d,5
1,unacceptable_mono_poss,2,6b,5
1,acceptable_di_refl,3,6c,5
2,acceptable_mono_refl,1,1a,NA
2,unacceptable_di_poss,4,1d,5
2,unacceptable_mono_poss,2,2b,NA
2,acceptable_di_refl,3,2c,5
2,acceptable_mono_refl,1,3a,5
2,unacceptable_di_poss,4,3d,5
2,unacceptable_mono_poss,2,4b,NA
2,acceptable_di_refl,3,4c,NA
2,acceptable_mono_refl,1,5a,NA
2,unacceptable_di_poss,4,5d,NA
2,unacceptable_mono_poss,2,6b,NA
2,acceptable_di_refl,3,6c,5
3,acceptable_mono_refl,1,1a,5
3,unacceptable_di_poss,4,1d,1
3,unacceptable_mono_poss,2,2b,1
3,acceptable_di_refl,3,2c,5
3,acceptable_mono_refl,1,3a,5
3,unacceptable_di_poss,4,3d,2
3,unacceptable_mono_poss,2,4b,2
3,acceptable_di_refl,3,4c,4
3,acceptable_mono_refl,1,5a,2
3,unacceptable_di_poss,4,5d,3
3,unacceptable_mono_poss,2,6b,2
3,acceptable_di_refl,3,6c,5
4,acceptable_mono_refl,1,1a,5
4,unacceptable_di_poss,4,1d,5
4,unacceptable_mono_poss,2,2b,4
4,acceptable_di_refl,3,2c,5
4,acceptable_mono_refl,1,3a,5
4,unacceptable_di_poss,4,3d,4
4,unacceptable_mono_poss,2,4b,4
4,acceptable_di_refl,3,4c,5
4,acceptable_mono_refl,1,5a,4
4,unacceptable_di_poss,4,5d,5
4,unacceptable_mono_poss,2,6b,5
4,acceptable_di_refl,3,6c,4
5,acceptable_mono_refl,1,1a,3
5,unacceptable_di_poss,4,1d,3
5,unacceptable_mono_poss,2,2b,4
5,acceptable_di_refl,3,2c,4
5,acceptable_mono_refl,1,3a,4
5,unacceptable_di_poss,4,3d,4
5,unacceptable_mono_poss,2,4b,5
5,acceptable_di_refl,3,4c,2
5,acceptable_mono_refl,1,5a,5
5,unacceptable_di_poss,4,5d,5
5,unacceptable_mono_poss,2,6b,1
5,acceptable_di_refl,3,6c,2
6,unacceptable_mono_poss,2,1b,5
6,acceptable_di_refl,3,1c,5
6,acceptable_mono_refl,1,2a,5
6,unacceptable_di_poss,4,2d,5
6,unacceptable_mono_poss,2,3b,5
6,acceptable_di_refl,3,3c,5
6,acceptable_mono_refl,1,4a,5
6,unacceptable_di_poss,4,4d,2
6,unacceptable_mono_poss,2,5b,3
6,acceptable_di_refl,3,5c,5
6,acceptable_mono_refl,1,6a,5
6,unacceptable_di_poss,4,6d,5
7,unacceptable_mono_poss,2,1b,2
7,acceptable_di_refl,3,1c,5
7,acceptable_mono_refl,1,2a,5
7,unacceptable_di_poss,4,2d,1
7,unacceptable_mono_poss,2,3b,1
7,acceptable_di_refl,3,3c,4
7,acceptable_mono_refl,1,4a,5
7,unacceptable_di_poss,4,4d,2
7,unacceptable_mono_poss,2,5b,1
7,acceptable_di_refl,3,5c,5
7,acceptable_mono_refl,1,6a,5
7,unacceptable_di_poss,4,6d,2
8,unacceptable_mono_poss,2,1b,5
8,acceptable_di_refl,3,1c,2
8,acceptable_mono_refl,1,2a,5
8,unacceptable_di_poss,4,2d,1
8,unacceptable_mono_poss,2,3b,4
8,acceptable_di_refl,3,3c,5
8,acceptable_mono_refl,1,4a,3
8,unacceptable_di_poss,4,4d,2
8,unacceptable_mono_poss,2,5b,4
8,acceptable_di_refl,3,5c,5
8,acceptable_mono_refl,1,6a,5
8,unacceptable_di_poss,4,6d,5
9,unacceptable_mono_poss,2,1b,2
9,acceptable_di_refl,3,1c,5
9,acceptable_mono_refl,1,2a,5
9,unacceptable_di_poss,4,2d,3
9,unacceptable_mono_poss,2,3b,3
9,acceptable_di_refl,3,3c,5
9,acceptable_mono_refl,1,4a,4
9,unacceptable_di_poss,4,4d,1
9,unacceptable_mono_poss,2,5b,3
9,acceptable_di_refl,3,5c,5
9,acceptable_mono_refl,1,6a,5
9,unacceptable_di_poss,4,6d,3
