"","probability","condition","step","language"
"1",0.046,"acceptable_mono_poss",1,"eng"
"2",0.084,"acceptable_mono_poss",2,"eng"
"3",0.155,"acceptable_mono_poss",3,"eng"
"4",0.261,"acceptable_mono_poss",4,"eng"
"5",0.454,"acceptable_mono_poss",5,"eng"
"11",0.045,"acceptable_di_poss",1,"eng"
"21",0.082,"acceptable_di_poss",2,"eng"
"31",0.152,"acceptable_di_poss",3,"eng"
"41",0.259,"acceptable_di_poss",4,"eng"
"51",0.462,"acceptable_di_poss",5,"eng"
"12",0.414,"unacceptable_di_own",1,"eng"
"22",0.272,"unacceptable_di_own",2,"eng"
"32",0.167,"unacceptable_di_own",3,"eng"
"42",0.093,"unacceptable_di_own",4,"eng"
"52",0.054,"unacceptable_di_own",5,"eng"
"13",0.34,"unacceptable_mono_own",1,"eng"
"23",0.274,"unacceptable_mono_own",2,"eng"
"33",0.195,"unacceptable_mono_own",3,"eng"
"43",0.118,"unacceptable_mono_own",4,"eng"
"53",0.073,"unacceptable_mono_own",5,"eng"
