"","participant_no","acceptable","tran","poss","sentence_type_eng_code","sentence_code","rating","group"
"1",1,"unacceptable","mono","own",1,"1a",3,"English"
"2",1,"acceptable","di","poss",4,"1d",2,"English"
"3",1,"acceptable","mono","poss",2,"2b",2,"English"
"4",1,"unacceptable","di","own",3,"2c",2,"English"
"5",1,"unacceptable","mono","own",1,"3a",3,"English"
"6",1,"acceptable","di","poss",4,"3d",4,"English"
"7",1,"acceptable","mono","poss",2,"4b",5,"English"
"8",1,"unacceptable","di","own",3,"4c",2,"English"
"9",1,"unacceptable","mono","own",1,"5a",2,"English"
"10",1,"acceptable","di","poss",4,"5d",5,"English"
"11",1,"acceptable","mono","poss",2,"6b",5,"English"
"12",1,"unacceptable","di","own",3,"6c",2,"English"
"13",2,"unacceptable","mono","own",1,"1a",5,"English"
"14",2,"acceptable","di","poss",4,"1d",5,"English"
"15",2,"acceptable","mono","poss",2,"2b",5,"English"
"16",2,"unacceptable","di","own",3,"2c",1,"English"
"17",2,"unacceptable","mono","own",1,"3a",1,"English"
"18",2,"acceptable","di","poss",4,"3d",5,"English"
"19",2,"acceptable","mono","poss",2,"4b",5,"English"
"20",2,"unacceptable","di","own",3,"4c",5,"English"
"21",2,"unacceptable","mono","own",1,"5a",1,"English"
"22",2,"acceptable","di","poss",4,"5d",5,"English"
"23",2,"acceptable","mono","poss",2,"6b",5,"English"
"24",2,"unacceptable","di","own",3,"6c",5,"English"
"25",3,"unacceptable","mono","own",1,"1a",1,"English"
"26",3,"acceptable","di","poss",4,"1d",1,"English"
"27",3,"acceptable","mono","poss",2,"2b",5,"English"
"28",3,"unacceptable","di","own",3,"2c",1,"English"
"29",3,"unacceptable","mono","own",1,"3a",1,"English"
"30",3,"acceptable","di","poss",4,"3d",2,"English"
"31",3,"acceptable","mono","poss",2,"4b",5,"English"
"32",3,"unacceptable","di","own",3,"4c",3,"English"
"33",3,"unacceptable","mono","own",1,"5a",1,"English"
"34",3,"acceptable","di","poss",4,"5d",4,"English"
"35",3,"acceptable","mono","poss",2,"6b",3,"English"
"36",3,"unacceptable","di","own",3,"6c",1,"English"
"37",4,"unacceptable","mono","own",1,"1a",4,"English"
"38",4,"acceptable","di","poss",4,"1d",4,"English"
"39",4,"acceptable","mono","poss",2,"2b",5,"English"
"40",4,"unacceptable","di","own",3,"2c",1,"English"
"41",4,"unacceptable","mono","own",1,"3a",4,"English"
"42",4,"acceptable","di","poss",4,"3d",5,"English"
"43",4,"acceptable","mono","poss",2,"4b",1,"English"
"44",4,"unacceptable","di","own",3,"4c",2,"English"
"45",4,"unacceptable","mono","own",1,"5a",4,"English"
"46",4,"acceptable","di","poss",4,"5d",4,"English"
"47",4,"acceptable","mono","poss",2,"6b",4,"English"
"48",4,"unacceptable","di","own",3,"6c",1,"English"
"49",5,"unacceptable","mono","own",1,"1a",2,"English"
"50",5,"acceptable","di","poss",4,"1d",5,"English"
"51",5,"acceptable","mono","poss",2,"2b",3,"English"
"52",5,"unacceptable","di","own",3,"2c",3,"English"
"53",5,"unacceptable","mono","own",1,"3a",2,"English"
"54",5,"acceptable","di","poss",4,"3d",5,"English"
"55",5,"acceptable","mono","poss",2,"4b",4,"English"
"56",5,"unacceptable","di","own",3,"4c",3,"English"
"57",5,"unacceptable","mono","own",1,"5a",4,"English"
"58",5,"acceptable","di","poss",4,"5d",5,"English"
"59",5,"acceptable","mono","poss",2,"6b",4,"English"
"60",5,"unacceptable","di","own",3,"6c",1,"English"
"61",6,"acceptable","mono","poss",2,"1b",5,"English"
"62",6,"unacceptable","di","own",3,"1c",1,"English"
"63",6,"unacceptable","mono","own",1,"2a",1,"English"
"64",6,"acceptable","di","poss",4,"2d",3,"English"
"65",6,"acceptable","mono","poss",2,"3b",5,"English"
"66",6,"unacceptable","di","own",3,"3c",1,"English"
"67",6,"unacceptable","mono","own",1,"4a",1,"English"
"68",6,"acceptable","di","poss",4,"4d",5,"English"
"69",6,"acceptable","mono","poss",2,"5b",5,"English"
"70",6,"unacceptable","di","own",3,"5c",1,"English"
"71",6,"unacceptable","mono","own",1,"6a",1,"English"
"72",6,"acceptable","di","poss",4,"6d",5,"English"
"73",7,"acceptable","mono","poss",2,"1b",4,"English"
"74",7,"unacceptable","di","own",3,"1c",4,"English"
"75",7,"unacceptable","mono","own",1,"2a",2,"English"
"76",7,"acceptable","di","poss",4,"2d",4,"English"
"77",7,"acceptable","mono","poss",2,"3b",5,"English"
"78",7,"unacceptable","di","own",3,"3c",2,"English"
"79",7,"unacceptable","mono","own",1,"4a",4,"English"
"80",7,"acceptable","di","poss",4,"4d",4,"English"
"81",7,"acceptable","mono","poss",2,"5b",3,"English"
"82",7,"unacceptable","di","own",3,"5c",2,"English"
"83",7,"unacceptable","mono","own",1,"6a",3,"English"
"84",7,"acceptable","di","poss",4,"6d",3,"English"
"85",8,"acceptable","mono","poss",2,"1b",3,"English"
"86",8,"unacceptable","di","own",3,"1c",4,"English"
"87",8,"unacceptable","mono","own",1,"2a",3,"English"
"88",8,"acceptable","di","poss",4,"2d",4,"English"
"89",8,"acceptable","mono","poss",2,"3b",4,"English"
"90",8,"unacceptable","di","own",3,"3c",3,"English"
"91",8,"unacceptable","mono","own",1,"4a",2,"English"
"92",8,"acceptable","di","poss",4,"4d",5,"English"
"93",8,"acceptable","mono","poss",2,"5b",1,"English"
"94",8,"unacceptable","di","own",3,"5c",2,"English"
"95",8,"unacceptable","mono","own",1,"6a",2,"English"
"96",8,"acceptable","di","poss",4,"6d",3,"English"
"97",9,"acceptable","mono","poss",2,"1b",5,"English"
"98",9,"unacceptable","di","own",3,"1c",1,"English"
"99",9,"unacceptable","mono","own",1,"2a",1,"English"
"100",9,"acceptable","di","poss",4,"2d",4,"English"
"101",9,"acceptable","mono","poss",2,"3b",3,"English"
"102",9,"unacceptable","di","own",3,"3c",1,"English"
"103",9,"unacceptable","mono","own",1,"4a",2,"English"
"104",9,"acceptable","di","poss",4,"4d",5,"English"
"105",9,"acceptable","mono","poss",2,"5b",3,"English"
"106",9,"unacceptable","di","own",3,"5c",2,"English"
"107",9,"unacceptable","mono","own",1,"6a",2,"English"
"108",9,"acceptable","di","poss",4,"6d",3,"English"
